Id,task_1,task_2
data/test/melanoma/ISIC_0012258.jpg,0.000725993,0.331087
data/test/melanoma/ISIC_0012356.jpg,0.00142909,0.00556792
data/test/melanoma/ISIC_0012369.jpg,0.22863,1.77707e-07
data/test/melanoma/ISIC_0012395.jpg,6.70901e-05,0.999933
data/test/melanoma/ISIC_0012425.jpg,5.62137e-07,0.999999
data/test/melanoma/ISIC_0012758.jpg,2.93401e-08,1.98698e-15
data/test/melanoma/ISIC_0012989.jpg,0.978792,0.000719441
data/test/melanoma/ISIC_0013072.jpg,0.319351,0.0164193
data/test/melanoma/ISIC_0013073.jpg,0.544621,0.0157498
data/test/melanoma/ISIC_0013242.jpg,0.00942027,0.980793
data/test/melanoma/ISIC_0013277.jpg,0.0612043,0.938796
data/test/melanoma/ISIC_0013321.jpg,3.77578e-19,1.0
data/test/melanoma/ISIC_0013374.jpg,0.691017,0.00105499
data/test/melanoma/ISIC_0013411.jpg,2.00951e-11,0.782457
data/test/melanoma/ISIC_0013414.jpg,2.36086e-12,0.000285833
data/test/melanoma/ISIC_0013455.jpg,0.00846896,3.11461e-05
data/test/melanoma/ISIC_0013457.jpg,0.748222,0.130268
data/test/melanoma/ISIC_0013459.jpg,0.356193,4.71486e-05
data/test/melanoma/ISIC_0013472.jpg,0.351317,0.647892
data/test/melanoma/ISIC_0013473.jpg,0.00599614,0.994004
data/test/melanoma/ISIC_0013565.jpg,0.392729,2.65325e-05
data/test/melanoma/ISIC_0013577.jpg,0.000672569,2.42371e-05
data/test/melanoma/ISIC_0013588.jpg,1.01619e-08,1.0
data/test/melanoma/ISIC_0013615.jpg,0.0210702,0.978926
data/test/melanoma/ISIC_0013617.jpg,0.00214379,0.570993
data/test/melanoma/ISIC_0013636.jpg,0.297752,0.000306502
data/test/melanoma/ISIC_0013678.jpg,3.60199e-07,1.0
data/test/melanoma/ISIC_0013696.jpg,1.24496e-05,0.999988
data/test/melanoma/ISIC_0013733.jpg,0.122199,0.558455
data/test/melanoma/ISIC_0013739.jpg,4.95528e-05,0.99995
data/test/melanoma/ISIC_0013766.jpg,0.00476698,3.87848e-12
data/test/melanoma/ISIC_0013767.jpg,0.164917,0.0375742
data/test/melanoma/ISIC_0013813.jpg,0.789549,0.207637
data/test/melanoma/ISIC_0013814.jpg,0.999828,0.000164906
data/test/melanoma/ISIC_0013833.jpg,0.431391,0.568572
data/test/melanoma/ISIC_0013842.jpg,4.87366e-06,0.999259
data/test/melanoma/ISIC_0013867.jpg,0.149239,0.00586826
data/test/melanoma/ISIC_0013908.jpg,0.00327823,0.996722
data/test/melanoma/ISIC_0013917.jpg,0.0416957,4.44261e-10
data/test/melanoma/ISIC_0013925.jpg,0.404991,0.428324
data/test/melanoma/ISIC_0013948.jpg,0.756019,0.00584491
data/test/melanoma/ISIC_0013953.jpg,9.46561e-05,0.743291
data/test/melanoma/ISIC_0013987.jpg,0.273633,0.726363
data/test/melanoma/ISIC_0013988.jpg,0.644222,0.315122
data/test/melanoma/ISIC_0014027.jpg,1.10971e-09,1.0
data/test/melanoma/ISIC_0014059.jpg,3.16294e-07,3.56256e-19
data/test/melanoma/ISIC_0014077.jpg,0.519836,0.47993
data/test/melanoma/ISIC_0014103.jpg,1.26796e-05,7.71148e-05
data/test/melanoma/ISIC_0014110.jpg,0.133439,0.000451878
data/test/melanoma/ISIC_0014129.jpg,0.176811,7.49028e-07
data/test/melanoma/ISIC_0014148.jpg,0.519554,0.00132688
data/test/melanoma/ISIC_0014160.jpg,0.49355,0.0394816
data/test/melanoma/ISIC_0014181.jpg,0.535118,0.449295
data/test/melanoma/ISIC_0014186.jpg,8.1421e-10,1.0
data/test/melanoma/ISIC_0014219.jpg,0.0061044,0.00439888
data/test/melanoma/ISIC_0014221.jpg,2.02498e-10,1.0
data/test/melanoma/ISIC_0014233.jpg,2.61452e-06,0.999997
data/test/melanoma/ISIC_0014255.jpg,7.55299e-19,4.62535e-07
data/test/melanoma/ISIC_0014270.jpg,0.00020362,2.80452e-10
data/test/melanoma/ISIC_0014284.jpg,0.000379068,0.999575
data/test/melanoma/ISIC_0014288.jpg,0.348489,0.50354
data/test/melanoma/ISIC_0014319.jpg,0.00245697,0.080493
data/test/melanoma/ISIC_0014336.jpg,0.461765,0.470052
data/test/melanoma/ISIC_0014349.jpg,0.443105,0.0824531
data/test/melanoma/ISIC_0014369.jpg,0.326716,9.04093e-16
data/test/melanoma/ISIC_0014423.jpg,0.59428,0.355774
data/test/melanoma/ISIC_0014434.jpg,3.80362e-05,0.999621
data/test/melanoma/ISIC_0014454.jpg,0.0618015,0.132207
data/test/melanoma/ISIC_0014478.jpg,0.0878292,8.76823e-05
data/test/melanoma/ISIC_0014489.jpg,0.821891,0.172472
data/test/melanoma/ISIC_0014506.jpg,0.765437,0.186981
data/test/melanoma/ISIC_0014513.jpg,0.247196,0.229178
data/test/melanoma/ISIC_0014541.jpg,0.060204,9.83879e-11
data/test/melanoma/ISIC_0014542.jpg,2.38973e-15,1.0
data/test/melanoma/ISIC_0014546.jpg,0.619432,0.295577
data/test/melanoma/ISIC_0014548.jpg,0.455156,0.000914465
data/test/melanoma/ISIC_0014559.jpg,0.855435,0.144519
