Id,task_1,task_2
data/test/melanoma/ISIC_0012258.jpg,0.00204268,0.0625146
data/test/melanoma/ISIC_0012356.jpg,0.00703594,0.0762861
data/test/melanoma/ISIC_0012369.jpg,6.0923e-06,3.03647e-07
data/test/melanoma/ISIC_0012395.jpg,6.60503e-10,1.0
data/test/melanoma/ISIC_0012425.jpg,6.03124e-14,1.86998e-11
data/test/melanoma/ISIC_0012758.jpg,0.000252329,2.64962e-10
data/test/melanoma/ISIC_0012989.jpg,0.999877,5.14157e-17
data/test/melanoma/ISIC_0013072.jpg,0.586808,0.0919377
data/test/melanoma/ISIC_0013073.jpg,0.899309,0.0992762
data/test/melanoma/ISIC_0013242.jpg,0.00076747,0.0850101
data/test/melanoma/ISIC_0013277.jpg,0.533598,0.306941
data/test/melanoma/ISIC_0013321.jpg,1.60834e-07,1.0
data/test/melanoma/ISIC_0013374.jpg,0.998755,0.00102823
data/test/melanoma/ISIC_0013411.jpg,7.12369e-07,0.877945
data/test/melanoma/ISIC_0013414.jpg,3.69211e-10,0.0133549
data/test/melanoma/ISIC_0013455.jpg,0.276062,7.09349e-05
data/test/melanoma/ISIC_0013457.jpg,0.999285,0.000101422
data/test/melanoma/ISIC_0013459.jpg,0.855813,2.84342e-05
data/test/melanoma/ISIC_0013472.jpg,0.585701,0.40941
data/test/melanoma/ISIC_0013473.jpg,0.261423,0.738547
data/test/melanoma/ISIC_0013565.jpg,0.950553,0.000130463
data/test/melanoma/ISIC_0013577.jpg,0.950447,0.00374603
data/test/melanoma/ISIC_0013588.jpg,1.23943e-05,0.995391
data/test/melanoma/ISIC_0013615.jpg,0.177038,0.257344
data/test/melanoma/ISIC_0013617.jpg,0.0134118,0.52671
data/test/melanoma/ISIC_0013636.jpg,0.00489814,0.515953
data/test/melanoma/ISIC_0013678.jpg,3.74051e-19,1.0
data/test/melanoma/ISIC_0013696.jpg,0.0077269,0.701025
data/test/melanoma/ISIC_0013733.jpg,0.00126626,0.0940053
data/test/melanoma/ISIC_0013739.jpg,6.15955e-08,0.973912
data/test/melanoma/ISIC_0013766.jpg,0.0131151,0.00110069
data/test/melanoma/ISIC_0013767.jpg,0.0315278,0.664579
data/test/melanoma/ISIC_0013813.jpg,0.935317,0.064374
data/test/melanoma/ISIC_0013814.jpg,0.294111,0.705728
data/test/melanoma/ISIC_0013833.jpg,0.97406,0.0157052
data/test/melanoma/ISIC_0013842.jpg,7.54165e-07,0.000293697
data/test/melanoma/ISIC_0013867.jpg,0.298782,0.395047
data/test/melanoma/ISIC_0013908.jpg,1.43952e-10,1.0
data/test/melanoma/ISIC_0013917.jpg,0.000272954,2.89587e-09
data/test/melanoma/ISIC_0013925.jpg,0.0152393,0.984733
data/test/melanoma/ISIC_0013948.jpg,0.000663441,0.000175071
data/test/melanoma/ISIC_0013953.jpg,1.6935e-08,0.981911
data/test/melanoma/ISIC_0013987.jpg,0.072277,0.915317
data/test/melanoma/ISIC_0013988.jpg,0.000435125,0.999559
data/test/melanoma/ISIC_0014027.jpg,1.82757e-11,0.99981
data/test/melanoma/ISIC_0014059.jpg,3.34606e-06,1.17795e-07
data/test/melanoma/ISIC_0014077.jpg,0.0238062,0.00118664
data/test/melanoma/ISIC_0014103.jpg,6.90102e-10,0.000102974
data/test/melanoma/ISIC_0014110.jpg,0.302361,0.00751727
data/test/melanoma/ISIC_0014129.jpg,0.0633552,0.271305
data/test/melanoma/ISIC_0014148.jpg,0.489482,0.124468
data/test/melanoma/ISIC_0014160.jpg,0.971752,0.000281178
data/test/melanoma/ISIC_0014181.jpg,0.29629,0.385144
data/test/melanoma/ISIC_0014186.jpg,7.54317e-06,0.0602489
data/test/melanoma/ISIC_0014219.jpg,5.37219e-05,5.38356e-06
data/test/melanoma/ISIC_0014221.jpg,3.44138e-11,0.0202154
data/test/melanoma/ISIC_0014233.jpg,1.19639e-05,0.000147879
data/test/melanoma/ISIC_0014255.jpg,6.35152e-13,4.85581e-16
data/test/melanoma/ISIC_0014270.jpg,9.21535e-05,0.00278701
